time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-20 10:55:12.722 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1558349712352, , , , ,3145728, , , , ,7,3,7,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , ,2,100,17,106,395259320,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-20 10:55:12.894 UTC, ,125,3162805,1056,16952, , ,4, ,13, , , , , , , , , ,4,4, , , , ,1,7, ,1, , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1558349712352, , , , ,3145728, , , , , ,7, ,7,2,7, , ,3,7, , , , , , , , , , , ,4096,2,825,7, , , , , , , , ,455268080,2, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6,4,1, , , , , , , 
2019-05-20 10:55:12.967 UTC, ,125,3159069,1056,13216, , ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,20,8, , , , , , , , , , , , , ,3261,2, ,2035, , , , , ,35,35, , , , , ,1,42, , , , , , , , , , , , , , , , , , , , , , , , ,1558349712935, , , , ,3145728, , , ,16,0, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,100819,27, , , , , , ,2,100,17,106,495588448,2, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-20 10:55:44.996 UTC, ,125,3176077,1904,30224, , ,6, ,20,1,0.05, , , , , , , ,6,6, , , ,2,4,6, ,2,1, , , , , , , , , , , , , ,3261,2, ,2035, , , , , ,37,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1558349712935, , , , ,3145728, , , ,3,6,9,15,9,3,9, , ,3,10, , , ,3,1, , , , , , ,10286,6,1381,9, , , , ,1,136,1,19,366569160,3, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,3, , , ,9, , , , , , , 
2019-05-20 11:01:28.471 UTC, ,125,3162205,1520,16352, , ,3, ,32,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,11, , , , , , , , , , , , , ,6568,3, ,4772, , , , , ,33,33, , , , , ,1,79, , , , , , , , , , , , , , , , , , , , , , , , ,1558350088087, , , , ,3145728, , , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,101022,30, , , , , , ,2,101,14,112,508142872,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-20 11:01:28.622 UTC, ,125,3165805,1520,19952, , ,4,1,11,1,0.09, , , , , , , ,4,4, , ,1,2,1,6, ,4,2, , , , , , , , , , , , , ,6568,3, ,4772, , , , , ,33,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1558350088087, , , , ,3145728, , , ,5,0, , , ,1, , , ,3, , , , ,5,1, , , , , , ,8333,6, , , , , , , , , , ,563623080,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,8, , , , , , , , 
2019-05-20 11:01:28.835 UTC, ,125,3162205,1520,16352, , ,3, ,32,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,11, , , , , , , , , , , , , ,6568,3, ,4772, , , , , ,33,33, , , , , ,1,79, , , , , , , , , , , , , , , , , , , , , , , , ,1558350088663, , , , ,3145728, , , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,101022,30, , , , , , ,3,235,15,131,81346392,2, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-20 11:02:28.840 UTC, ,125,3175989,1904,29464,672, ,6,1,27,3,0.11, , , , , , , ,6,6, , ,1,2,4,6, ,12,9, , , , , , , , , , , , , ,6568,3, ,4772, , , , , ,32,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1558350088663, , , , ,3145728, , , ,16,7,1,8,1,3,1, , ,3,3, , , ,16,1, , , , , , ,20805,19,209,1, , , , , , , , ,325378072,2, , , , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,11,3, , , , , , , 
2019-05-20 11:03:28.847 UTC, ,125,3175989,1904,29464,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,6568,3, ,4772, , , , , ,32,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1558350088663, , , , ,3145728, , , , , , , , , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,333919320,2, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
2019-05-20 11:04:28.853 UTC, ,125,3175989,1904,29464,672, ,6, ,12, , , , , , , , , ,6,6, , , ,2,4,6, , , , , , , , , , , , , , , , ,6568,3, ,4772, , , , , ,32,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1558350088663, , , , ,3145728, , , , , , , , , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,339773672,2, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , 
