time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-29 09:39:08.472 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1559122747052, , , , ,3145728, , , , ,2,3,5,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , ,3,363,48,357,102055920,-1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-29 09:39:09.965 UTC, ,125,3162805,1056,16952, , ,4, ,13, , , , , , , , , ,4,4, , , , ,1,7, ,1, , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122747052, , , , ,3145728, , , , ,1,7,6,7,2,7, , ,3,7, , , , , , , , , , , ,4096,2,827,7, , , , , , , , ,149364976,-1, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, ,6,4,1, , , , , , , 
2019-05-29 09:39:10.427 UTC, ,125,3159069,1056,13216, , ,3, ,22,3,0,14, , , , , , , ,3,3, ,2, ,2,1,5, ,20,8, , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,35,35, , , , , ,1,42, , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , ,16,0, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,100819,27, , , , , , ,3,363,48,357,177162968,-1, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-29 09:40:10.431 UTC, ,125,3182957,2008,36432,672, ,7, ,106,1,0,01, , , , , , , ,7,7, , , ,2,4,7, ,2,1, , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , ,3,12,10,27,10,3,10, , ,3,12, , , ,3,1, , , , , , ,10286,6,4740,10, , , , , , ,2,12,155224200,-1, , , , , , ,109, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,84, ,2,5,35, , , , , , , 
2019-05-29 09:41:10.433 UTC, ,125,3199701,2008,42760,11088, ,7, ,251, , , , , , , , , ,7,7, , , ,2,4,7, ,583, , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,9,19,110,19, ,19, , ,3,22, , , , ,1, , , , , , , , ,5383,19, , , , , , , , ,261667552,-1, , , , , , ,3278, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86, ,3056,136,14, , , , , , , 
2019-05-29 09:42:10.435 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,9, ,25, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,264668168,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:43:10.437 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,9, ,25, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,267206056,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:44:10.439 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,9, ,25, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,270995480,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:45:10.441 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,8, ,24, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,273457256,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:46:10.444 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,8, ,16, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,279483792,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
